recipe_id,recipe_image,category1,category2,category3,category4,food_name,steps,ingredient_all,serving_size,cooking_time,cooking_level,tags
7039774,https://recipe1.ezmember.co.kr/cache/recipe/2024/11/25/4d7ea408e7be3c61517900327fef74421.jpg,볶음,일상,소고기,밑반찬,차돌박이떡볶음으로 즐기는 특별한요리,"[(1, '떡국떡은 물에 10분 정도 불린다.'), (2, '차돌박이를 준비한다.'), (3, '새송이버섯은 2~4등분으로 잘라 삼각형 모양으로 자른다.'), (4, '대파는 어슷 썬다.'), (5, '청양고추는 어슷 썬다.'), (6, '불린 떡국떡은 물기를 제거한다.'), (7, '팬에 기름 없이 차돌박이를 센 불로 볶는다.'), (8, '차돌박이가 절반 정도 익으면 차돌박이는 건져낸다.'), (9, '차돌박이 기름에 떡국떡, 야채를 넣고 중불로 볶는다.'), (10, '야채가 절반 익으면 새송이버섯, 진간장, 설탕, 굴소스를 넣고 센 불로 볶는다.'), (11, '모든 재료가 익으면 차돌박이를 넣고 센 불로 볶는다.')]","['떡국떡: 300g', '차돌박이: 200g', '새송이버섯: 2개', '대파: 1대', '청양고추: 1개', '진간장: 3숟가락', '설탕: 2숟가락', '굴소스: 2숟가락']",2인분,20분 이내,아무나,"['차돌박이', '차돌박이볶음', '차돌박이떡볶음', '차돌박이떡볶이', '차돌박이레시피', '차돌박이도시락', '차돌박이요리추천', '초간단차돌박이요리', '미국차돌박이', '미국산차돌박이']"
6854979,https://recipe1.ezmember.co.kr/cache/recipe/2016/08/20/2146c8ef816630adcab6633818b3e4de1.jpg,볶음,일상,소고기,밑반찬,소고기두부볶음 - 아이들 반찬/이유식 반찬으로도 최고죠~옛생각이 절로...,"[(1, '다진소고기는 140그람이 있어서 준비. 뭐~~더 많이 넣으셔도 됩니다.'), (2, '소고기는 밑간해주세요. 다진소고기140그람, 맛술1/2큰술, 간장1큰술, 설탕1/3큰술,참기름1큰술, 다진마늘1/2큰술, 다진파1큰술, 후추톡톡톡 간장과 설탕의 양은 조절하세요. 간장에따라..설탕에따라 짠맛단맛이 천차만별... ^^'), (3, '두부는 깍뚝깍뚝 썰어서 키친타올에서 물기좀 제거해주세요. 그래야 더 단단하게 부쳐집니다.'), (4, '물기 제거한 두부는 들기름반...올리브유 반... 두르고 노릇노릇 부쳐주세요.'), (5, '노릇노릇 부친 두부는 한켠으로 밀어내고.'), (6, '밑간해둔 다진소고기를 볶아 줍니다. 번거로움을 줄이기위함. 잔머리 딩굴딩굴~~'), (7, '고기가 다 볶아지면... 고루 섞어내주면 되지요~~ 두부랑 섞어요~~ 섞어서 휙~볶아주고 끝!! 쉽죠~ 맛있죠~')]","['두부: 1/2모', '다진소고기: 140g', '다진소고기: 140g', '맛술: 1/2큰술', '간장: 1큰술', '설탕: 1/3큰술', '참기름: 1큰술', '다진마늘: 1/2큰술', '다진파: 1큰술', '후추: 톡톡', '들기름: ', '올리브유: ']",3인분,30분 이내,초급,"['밑반찬', '아이반찬', '이유식반찬', '두부요리', '두부소고기볶음']"
7024887,https://recipe1.ezmember.co.kr/cache/recipe/2024/04/18/dee8eb93d55466f4c342b70b2d13cd481.jpg,볶음,일상,소고기,메인반찬,우삼겹 김치볶음,"[(1, '신김치는 잘게 썰어주세요.'), (2, '달궈진 팬에 우삼겹을 넣고 볶아주세요.'), (3, '우삼겹이 거의 익었을때 김치를 넣고 함께 볶아주세요.'), (4, '김칫국물 1/2컵을 넣고..'), (5, '굴소스 1큰술..'), (6, '설탕 1큰술을 넣어주세요.'), (7, '김칫국물이 졸아들때까지 중불에서 볶아주세요.'), (8, '수분이 거의 졸아들었으면 어슷썰기한 청양고추와..'), (9, '참기름을 넣고 한 번더 볶아준 후 후춧가루를 뿌려주고 불을 꺼주세요.'), (10, '접시에 담아 완성합니다.')]","['신김치: 1/4포기', '우삼겹: 300g', '청양고추: 1개', '굴소스: 1큰술', '설탕: 1큰술', '김칫국물: 1/2컵', '참기름: 약간', '후춧가루: 약간']",4인분,30분 이내,초급,"['김치볶음', '우삼겹김치볶음', '신김치볶음', '볶음김치', '신김치요리', '우삼겹']"
6899457,https://recipe1.ezmember.co.kr/cache/recipe/2018/10/29/4c178a4f5751fc23b5729151b659e6dc1.jpg,볶음,일상,소고기,메인반찬,소고기 대파 볶음,"[(1, '소고기는 한입 크기로 썰고 간장1작은술.설탕1작은술.굴소스1작은술.다진마늘1작은술.맛술1큰술을 넣고 버무려 주세요'), (2, '대파는 3~4cm 길이로 썰어주세요'), (3, '딜군 팬에 식용유 2큰술을 두르고 대파를 넣고 볶아주세요.(2~3분정도)'), (4, '대파를 한쪽으로 밀쳐놓고 소고기를 넣고 구워주세요(센불)'), (5, '밑면이 익으면 뒤집어서 익혀 주세요'), (6, '대파와 같이 섞으면서 볶아주세요. 참기름을 약간 두르고 저어준후'), (7, '완성그릇에 담고 깨소금을 뿌려주세요')]","['한우 소고기 (살치살): 200g', '대파(흰부분): 1컵', '식용유: 2큰술', '간장: 1작은술', '설탕: 1작은술', '굴소스: 1작은술', '다진마늘: 1작은술', '맛술: 1큰술', '참기름: 약간', '깨소금: 약간']",2인분,15분 이내,초급,[]
7013572,https://recipe1.ezmember.co.kr/cache/recipe/2023/11/14/f620ca3189300cc2fa400aeb4acf96711.jpg,볶음,일상,소고기,국/탕,경상도식 얼큰 소고기무국 끓이는법,"[(1, '1. 무를 적당한 두께로 손질해주세요. 너무 두꺼우면 오래 끓여야됩니다!!'), (2, '2. 오일을 둘러, 소고기를 볶아주세요. 깊고 진한맛이 나올꺼랍니다~'), (3, '3. 고춧가루 2스푼 넣고, 약불로 천천히 볶아줍니다!'), (4, '4. 물1리터, 야채들을 넣어주세요. 국간장 1스푼, 액젓 2스푼, 코인2개 넣고 20부간 끓여줍니다!'), (5, '5. 후추 살짝, 새우젓으로 간을 잡아주세요. 무가 다익었는지 확인! 밥과 함께 드시면 됩니다~'), (6, '경상도식 얼큰 소고기무국! 맛있게 즐겨보세요~')]","['소고기 국거리용: 200g', '무: 1/4개', '대파: 많이', '느타리버섯: 적당량', '코인육수: 2알', '고춧가루: 2스푼', '물: 1L', '국간장: 1스푼', '간마늘: 1스푼', '액젓: 2스푼', '새우젓: 조금']",2인분,30분 이내,초급,"['경상도식소고기무국끓이는법', '얼큰소고기무국끓이는법']"
6963914,https://recipe1.ezmember.co.kr/cache/recipe/2021/07/25/8c34aa6c039256b84047d36e2b4e6cdd1.jpg,볶음,일상,소고기,국/탕,알토란 얼갈이 소고기볶음 지짐이,"[(1, '지짐용할때는 작은얼갈이배추 를 사용해야 식감이 부드럽고 좋아요'), (2, '신선한재료를 구입하면 손질 하기도 편하답니다 흐르는물에 깨끗이 씻어 준비 합니다'), (3, '끓는물에 굵은소금 2스푼 넣고 줄기가 단단한 부분부터 넣고 줄기가 어느정도 익으면 잎파리 도 넣고 2~3분정도 데쳐 줍니다'), (4, '데친 얼갈이배추를 찬물에 훵궈 잔열을 식히고 물기를 꼬옥 짜 준비 합니다'), (5, '데친 얼갈이 배추에 된장 3큰술 넣고 밑간을 합니다'), (6, '소고기는 먹기 좋은 크기로 썰고 볼에 담아 고추장,국간장 설탕,다진마늘,맛술,설탕을 넣어 밑간을 합니다'), (7, '팬에 들기름 1큰술 넣고 밑간해놓은 얼갈이배추를 볶아 줍니다'), (8, '팬 중앙에 밑간해놓은 소고기를 넣어 줍니다'), (9, '중불에서 소고기와 얼갈이배추 를 함께 볶아 주다가~'), (10, '쌀뜨물을 넣고 끓여 줍니다 보글보글 끓으면 대파와양파 를 넣고 끓여 줍니다 *쌀뜨물 없을때는 생수로 해도 됩니다'), (11, '얼갈이지짐는 푸~욱 끓여야 구수해지기 때문에 뚜껑을 덮고 쎈불에서 4분 약불에서 30분정도 끓여 줍니다'), (12, '청양고추로 마무리 해서 얼갈이지짐이가 완성 !!! 따끈한 밥과 먹으면 밥도둑이 따로 없네요.ㅎㅎ *친정엄마가 생각나는 얼갈이소고기볶음 지짐이~')]","['얼갈이배추: 1단', '굵은소금: 2큰술', '된장: 3큰술', '소고기등심: 400g', '쌀뜨물: 1.5L', '대파: 1대', '양파: 1개', '청양고추: 4개', '들기름: 1큰술', '고추장: 1큰술', '국간장: 1큰술', '다진마늘: 1큰술', '맛술: 2큰술', '설탕: 1큰술']",4인분,60분 이내,아무나,"['얼갈이소고기지짐', '얼갈이지짐이', '배추요리']"
7050705,https://recipe1.ezmember.co.kr/cache/recipe/2025/04/20/ee297315b43a90ce5f82b3c161f89b7b1.jpg,볶음,일상,돼지고기,밑반찬,돼지고기 양배추볶음 레시피,"[(1, '대파는 송송 썰고 표고버섯은 밑동을 제거한 뒤 채 썰어주세요.'), (2, '양배추는 두께감 있게 적당한 크기로 썰어주세요.'), (3, '팬에 식용유 3스푼을 두른 뒤 송송 썬 대파와 다진 마늘 1스푼을 넣고 노릇노릇하게 볶아주세요.'), (4, '파, 마늘이 노릇노릇해지면서 향이 올라오면 돼지고기 넣고 볶아서 80% 정도 익혀주세요. 저는 잡채용 돼지고기 사용했는데 닭가슴살이나 대패삼겹살, 베이컨 등 집에 있는 재료 사용하면 됩니다.'), (5, '고기가 거의 익으면 양배추와 표고버섯을 넣고 센 불 유지하면서 볶아주세요. 수분이 날려가며 볶다가 80% 정도 양배추 숨이 죽으면 중불로 낮추고 불맛을 입혀주세요.'), (6, '볶은 재료를 한 쪽으로 밀고 남은 공간에 진간장 1스푼을 지글지글 끓여 수분을 날린 뒤 골고루 섞어 불맛을 입혀주세요.'), (7, '굴소스 2스푼을 넣고 양념이 잘 어우러질 수 있게 한 번 더 골고루 섞어 마무리하세요. 다이어트 중이라면 굴소스 양을 줄여서 사용하고 양배추 양이 많아서 싱거울 경우 소금을 살짝 추가하세요.'), (8, '후추와 통깨를 솔솔 뿌려 마무리하면 풍미가 확 살아납니다.')]","['등심(잡채용): 250g', '양배추: 400g', '대파: 1/4대', '표고버섯: 2개', '식용유: 3스푼', '다진 마늘: 1스푼', '진간장: 1스푼', '굴소스: 2스푼', '후추: 약간', '통깨: 약간']",4인분,20분 이내,아무나,"['양배추볶음', '양배추반찬', '돼지고기양배추볶음']"
7014545,https://recipe1.ezmember.co.kr/cache/recipe/2023/11/28/e4668f1bbc7f8c5187d7a7be196e44701.jpg,볶음,일상,돼지고기,밑반찬,알배추찜 배추 1통 그자리에서 순삭됩니다 ‼️ 온 가족이 좋아하는 배추찜 ‼️,"[(1, '알배추는 1/4등분하여 찜기에 올려 8분간 쪄주세요 (찬물부터 올려 쪄줍니다)'), (2, '팬에 식용유 살짝 두른 후 총총 썬 청양고추, 홍고추 조금 넣어 볶아요'), (3, '다짐육 200g 추가로 넣어 센불에서 볶아줍니다.'), (4, '추가로 설탕 1큰술 넣어 볶다가, 맛술 1큰술 볶아요'), (5, '참치액젓 1.5큰술, 진간장 3큰술 매실액 1큰술, 다진마늘 1작은술, 후추 넣어 센불에서 졸이듯 볶아요'), (6, '마지막으로 식초 4큰술 통깨 넣어 한번 더 끓인 후'), (7, '소스를 배추에 부어 드시면 완성입니다!')]","['알배추: 1통', '돼지고기 다짐육: 200g', '청양고추: 2개', '홍고추: 1개', '다진마늘: 1작은술', '설탕: 1큰술', '맛술: 1큰술', '참치액젓: 1.5큰술', '진간장: 3큰술', '매실액: 1큰술', '식초: 4큰술', '물: 1/2종이컵', '통깨: 1큰술', '후추: 톡톡']",2인분,15분 이내,아무나,"['알배추찜', '배추찜', '알배추고기찜']"
7030132,https://recipe1.ezmember.co.kr/cache/recipe/2024/07/10/04bbba25ac8e8779eafb67735f756e8b1.jpg,볶음,일상,돼지고기,메인반찬,대패 제육볶음 레시피 대패삼겹살 돼지 대패 두루치기,"[(1, '대패삼겹살 700g을 준비해 주세요'), (2, '대파는 얇게 채썰고 양파는 큼직하게 잘라주세요'), (3, '고춧가루 3큰술, 고추장 2큰술, 진간장 5큰술, 다진마늘 1큰술, 매실액 1큰술, 맛술 2큰술을 넣어 양념장을 만들어 주세요'), (4, '강불로 달군 팬에 대패삼겹살을 넣고 구워주세요'), (5, '이 때 양념이 고기에 잘 밸 수 있게 설탕을 1큰술 넣어주세요'), (6, '고기를 구우면서 나오는 물과 기름은 따라내주세요'), (7, '고기가 모두 익으면 야채와 양념장을 함께 넣고 볶아주세요'), (8, '물이 생기지 않게 강불로 볶아주세요'), (9, '양념소스가 고기와 잘 어우러지면 올리고당 2큰술, 통깨 1큰술을 넣고 휘리릭 볶아주세요'), (10, '불을 끄고 후추 넉넉히, 참기름 2큰술 둘러 마무리해 주세요'), (11, '매콤달달한 대패 두루치기 완성입니다')]","['대패삼겹살: 700g', '대파: 1/2대', '양파: 1개', '설탕: 1큰술', '올리고당: 2큰술', '참기름: 2큰술', '통깨: 1큰술', '후추: 조금', '고춧가루: 3큰술', '고추장: 2큰술', '진간장: 5큰술', '다진마늘: 1큰술', '매실액: 1큰술', '맛술: 2큰술']",4인분,30분 이내,아무나,"['대패삼겹살', '대패두루치기', '돼지고기두루치기', '고추장불고기', '대패제육볶음', '돼지고기제육볶음', '제육볶음', '메인메뉴']"
7042532,https://recipe1.ezmember.co.kr/cache/recipe/2025/01/12/83a4ecfa86e0906d853c574d9ce9a0671.jpg,볶음,일상,돼지고기,메인반찬,삼겹살 제육볶음,"[(1, '삼겹살은 먹기 좋은 크기로 썰어서 잘라주세요.'), (2, '마늘은 편으로 썰고, 양파와 파는 서로 비슷한 길이로 썰어서 준비해주세요.'), (3, '삼겹살을 중~강불에서 구워주세요. 고기가 좀 더 부드러워질 수 있게 설탕 1T를 흩뿌려서 함께 구워주세요.'), (4, '고기 겉면이 얼추 익으면 불을 중불로 줄이고 편으로 썰어둔 마늘을 넣어주세요.'), (5, '바로 이어서 고춧가루를 넣고 고기에 색을 입혀주세요. 고춧가루가 타지 않고 고기 기름과 잘 어우러질 수 있게, 불이 너무 세지 않도록 잘 조절해주세요.'), (6, '고기에 빨갛게 색이 입혀지면, 간장 2T, 멸치액젓 2T, 식초 1T, 설탕 1T를 넣어서 간을 잡고 잘 섞어줍니다.'), (7, '고기와 양념들이 어우러져서 살짝 끓는 것 같아 보이면, 양파와 파를 넣고 잘 섞어줍니다.'), (8, '(선택) 양파와 파가 익어가는 동안, 직화구이 맛을 살리고 싶다면 토치로 볶음에 불맛을 더해주세요.'), (9, '양파와 파가 물러지지 않을 정도로 익으면 불을 끄고 접시에 맛있게 담아 완성합니다.')]","['삼겹살: 300g', '마늘: 3쪽', '양파: 1/2개', '파: 1/2대', '설탕: 2T', '고춧가루: 2T', '간장: 2T', '멸치액젓: 2T', '식초: 1T']",2인분,30분 이내,중급,"['삼겹살', '오겹살', '제육볶음', '저녁밥', '저녁메뉴']"
